Title,"HE student enrolments by level of study, first year marker, mode of study, sex and country of HE provider",,,,,,
Postgraduate Certificate in Education,First year,Part-time,All,Female,2015/16,805,0%
Postgraduate Certificate in Education,First year,Part-time,All,Male,2015/16,295,0%
Postgraduate Certificate in Education,First year,Part-time,All,Other,2015/16,0,0%
Postgraduate Certificate in Education,First year,Part-time,All,All,2016/17,855,0%
Postgraduate Certificate in Education,First year,Part-time,All,Female,2016/17,620,0%
Postgraduate Certificate in Education,First year,Part-time,All,Male,2016/17,235,0%
Postgraduate Certificate in Education,First year,Part-time,All,Other,2016/17,0,0%
Postgraduate Certificate in Education,First year,Part-time,All,All,2017/18,1035,0%
Postgraduate Certificate in Education,First year,Part-time,All,Female,2017/18,755,0%
Postgraduate Certificate in Education,First year,Part-time,All,Male,2017/18,285,0%
Postgraduate Certificate in Education,First year,Part-time,All,Other,2017/18,0,0%
Postgraduate Certificate in Education,First year,Part-time,All,All,2018/19,770,0%
Postgraduate Certificate in Education,First year,Part-time,All,Female,2018/19,585,0%
Postgraduate Certificate in Education,First year,Part-time,All,Male,2018/19,185,0%
Postgraduate Certificate in Education,First year,Part-time,All,Other,2018/19,0,0%
Postgraduate Certificate in Education,First year,Part-time,All,All,2019/20,860,0%
Postgraduate Certificate in Education,First year,Part-time,All,Female,2019/20,655,0%
Postgraduate Certificate in Education,First year,Part-time,All,Male,2019/20,205,0%
Postgraduate Certificate in Education,First year,Part-time,All,Other,2019/20,0,0%
Postgraduate Certificate in Education,First year,Part-time,England,All,2015/16,1020,1%
Postgraduate Certificate in Education,First year,Part-time,England,Female,2015/16,735,1%
Postgraduate Certificate in Education,First year,Part-time,England,Male,2015/16,285,0%
Postgraduate Certificate in Education,First year,Part-time,England,All,2016/17,790,0%
Postgraduate Certificate in Education,First year,Part-time,England,Female,2016/17,565,0%
Postgraduate Certificate in Education,First year,Part-time,England,Male,2016/17,230,0%
Postgraduate Certificate in Education,First year,Part-time,England,All,2017/18,950,1%
Postgraduate Certificate in Education,First year,Part-time,England,Female,2017/18,680,1%
Postgraduate Certificate in Education,First year,Part-time,England,Male,2017/18,270,0%
Postgraduate Certificate in Education,First year,Part-time,England,All,2018/19,670,0%
Postgraduate Certificate in Education,First year,Part-time,England,Female,2018/19,500,0%
Postgraduate Certificate in Education,First year,Part-time,England,Male,2018/19,170,0%
Postgraduate Certificate in Education,First year,Part-time,England,All,2019/20,750,0%
Postgraduate Certificate in Education,First year,Part-time,England,Female,2019/20,560,0%
Postgraduate Certificate in Education,First year,Part-time,England,Male,2019/20,190,0%
Postgraduate Certificate in Education,First year,Part-time,Northern Ireland,All,2015/16,0,0%
Postgraduate Certificate in Education,First year,Part-time,Northern Ireland,Female,2015/16,0,0%
Postgraduate Certificate in Education,First year,Part-time,Northern Ireland,All,2016/17,0,0%
Postgraduate Certificate in Education,First year,Part-time,Northern Ireland,Female,2016/17,0,0%
Postgraduate Certificate in Education,First year,Part-time,Northern Ireland,All,2017/18,0,0%
Postgraduate Certificate in Education,First year,Part-time,Northern Ireland,Female,2017/18,0,0%
Postgraduate Certificate in Education,First year,Part-time,Northern Ireland,All,2018/19,0,0%
Postgraduate Certificate in Education,First year,Part-time,Northern Ireland,Female,2018/19,0,0%
Postgraduate Certificate in Education,First year,Part-time,Northern Ireland,All,2019/20,0,0%
Postgraduate Certificate in Education,First year,Part-time,Northern Ireland,Female,2019/20,0,0%
Postgraduate Certificate in Education,First year,Part-time,Scotland,All,2015/16,70,0%
Postgraduate Certificate in Education,First year,Part-time,Scotland,Female,2015/16,60,0%
Postgraduate Certificate in Education,First year,Part-time,Scotland,Male,2015/16,5,0%
Postgraduate Certificate in Education,First year,Part-time,Scotland,Other,2015/16,0,..
Postgraduate Certificate in Education,First year,Part-time,Scotland,All,2016/17,65,0%
Postgraduate Certificate in Education,First year,Part-time,Scotland,Female,2016/17,55,0%
Postgraduate Certificate in Education,First year,Part-time,Scotland,Male,2016/17,5,0%
Postgraduate Certificate in Education,First year,Part-time,Scotland,Other,2016/17,0,1%
Postgraduate Certificate in Education,First year,Part-time,Scotland,All,2017/18,80,0%
Postgraduate Certificate in Education,First year,Part-time,Scotland,Female,2017/18,65,0%
Postgraduate Certificate in Education,First year,Part-time,Scotland,Male,2017/18,10,0%
Postgraduate Certificate in Education,First year,Part-time,Scotland,Other,2017/18,0,1%
Postgraduate Certificate in Education,First year,Part-time,Scotland,All,2018/19,95,0%
Postgraduate Certificate in Education,First year,Part-time,Scotland,Female,2018/19,80,0%
Postgraduate Certificate in Education,First year,Part-time,Scotland,Male,2018/19,15,0%
Postgraduate Certificate in Education,First year,Part-time,Scotland,Other,2018/19,0,0%
Postgraduate Certificate in Education,First year,Part-time,Scotland,All,2019/20,105,0%
Postgraduate Certificate in Education,First year,Part-time,Scotland,Female,2019/20,95,0%
Postgraduate Certificate in Education,First year,Part-time,Scotland,Male,2019/20,10,0%
Postgraduate Certificate in Education,First year,Part-time,Scotland,Other,2019/20,0,0%
Postgraduate Certificate in Education,First year,Part-time,Wales,All,2015/16,5,0%
Postgraduate Certificate in Education,First year,Part-time,Wales,Female,2015/16,5,0%
Postgraduate Certificate in Education,First year,Part-time,Wales,Male,2015/16,0,0%
Postgraduate Certificate in Education,First year,Part-time,Wales,All,2016/17,0,0%
Postgraduate Certificate in Education,First year,Part-time,Wales,Female,2016/17,0,0%
Postgraduate Certificate in Education,First year,Part-time,Wales,Male,2016/17,0,0%
Postgraduate Certificate in Education,First year,Part-time,Wales,All,2017/18,10,0%
Postgraduate Certificate in Education,First year,Part-time,Wales,Female,2017/18,5,0%
Postgraduate Certificate in Education,First year,Part-time,Wales,Male,2017/18,5,0%
Postgraduate Certificate in Education,First year,Part-time,Wales,All,2018/19,5,0%
Postgraduate Certificate in Education,First year,Part-time,Wales,Female,2018/19,0,0%
Postgraduate Certificate in Education,First year,Part-time,Wales,Male,2018/19,0,0%
Postgraduate Certificate in Education,First year,Part-time,Wales,All,2019/20,0,0%
Postgraduate Certificate in Education,First year,Part-time,Wales,Female,2019/20,0,0%
Postgraduate Certificate in Education,First year,Part-time,Wales,Male,2019/20,0,0%
Postgraduate Certificate in Education,Other years,All,All,All,2015/16,1570,0%
Postgraduate Certificate in Education,Other years,All,All,Female,2015/16,1060,0%
Postgraduate Certificate in Education,Other years,All,All,Male,2015/16,510,0%
Postgraduate Certificate in Education,Other years,All,All,Other,2015/16,0,0%
Postgraduate Certificate in Education,Other years,All,All,All,2016/17,1460,0%
Postgraduate Certificate in Education,Other years,All,All,Female,2016/17,1000,0%
Postgraduate Certificate in Education,Other years,All,All,Male,2016/17,465,0%
Postgraduate Certificate in Education,Other years,All,All,Other,2016/17,0,0%
Postgraduate Certificate in Education,Other years,All,All,All,2017/18,1315,0%
Postgraduate Certificate in Education,Other years,All,All,Female,2017/18,895,0%
Postgraduate Certificate in Education,Other years,All,All,Male,2017/18,420,0%
Postgraduate Certificate in Education,Other years,All,All,Other,2017/18,0,0%
Postgraduate Certificate in Education,Other years,All,All,All,2018/19,1370,0%
Postgraduate Certificate in Education,Other years,All,All,Female,2018/19,965,0%
Postgraduate Certificate in Education,Other years,All,All,Male,2018/19,400,0%
Postgraduate Certificate in Education,Other years,All,All,Other,2018/19,0,0%
Postgraduate Certificate in Education,Other years,All,All,All,2019/20,1295,0%
Postgraduate Certificate in Education,Other years,All,All,Female,2019/20,845,0%
Postgraduate Certificate in Education,Other years,All,All,Male,2019/20,450,0%
Postgraduate Certificate in Education,Other years,All,All,Other,2019/20,0,0%
Postgraduate Certificate in Education,Other years,All,England,All,2015/16,1365,0%
Postgraduate Certificate in Education,Other years,All,England,Female,2015/16,925,0%
Postgraduate Certificate in Education,Other years,All,England,Male,2015/16,440,0%
Postgraduate Certificate in Education,Other years,All,England,Other,2015/16,0,0%
Postgraduate Certificate in Education,Other years,All,England,All,2016/17,1280,0%
Postgraduate Certificate in Education,Other years,All,England,Female,2016/17,865,0%
Postgraduate Certificate in Education,Other years,All,England,Male,2016/17,415,0%
Postgraduate Certificate in Education,Other years,All,England,Other,2016/17,0,0%
Postgraduate Certificate in Education,Other years,All,England,All,2017/18,1145,0%
Postgraduate Certificate in Education,Other years,All,England,Female,2017/18,760,0%
Postgraduate Certificate in Education,Other years,All,England,Male,2017/18,385,0%
Postgraduate Certificate in Education,Other years,All,England,Other,2017/18,0,0%
Postgraduate Certificate in Education,Other years,All,England,All,2018/19,1080,0%
Postgraduate Certificate in Education,Other years,All,England,Female,2018/19,740,0%
Postgraduate Certificate in Education,Other years,All,England,Male,2018/19,340,0%
Postgraduate Certificate in Education,Other years,All,England,Other,2018/19,0,0%
Postgraduate Certificate in Education,Other years,All,England,All,2019/20,1055,0%
Postgraduate Certificate in Education,Other years,All,England,Female,2019/20,670,0%
Postgraduate Certificate in Education,Other years,All,England,Male,2019/20,385,0%
Postgraduate Certificate in Education,Other years,All,England,Other,2019/20,0,0%
Postgraduate Certificate in Education,Other years,All,Northern Ireland,All,2015/16,0,0%
Postgraduate Certificate in Education,Other years,All,Northern Ireland,Female,2015/16,0,0%
Postgraduate Certificate in Education,Other years,All,Northern Ireland,Male,2015/16,0,0%
Postgraduate Certificate in Education,Other years,All,Northern Ireland,All,2016/17,5,0%
Postgraduate Certificate in Education,Other years,All,Northern Ireland,Female,2016/17,5,0%
Postgraduate Certificate in Education,Other years,All,Northern Ireland,Male,2016/17,0,0%
Postgraduate Certificate in Education,Other years,All,Northern Ireland,All,2017/18,5,0%
Postgraduate Certificate in Education,Other years,All,Northern Ireland,Female,2017/18,5,0%
Postgraduate Certificate in Education,Other years,All,Northern Ireland,Male,2017/18,0,0%
Postgraduate Certificate in Education,Other years,All,Northern Ireland,All,2018/19,5,0%
Postgraduate Certificate in Education,Other years,All,Northern Ireland,Female,2018/19,5,0%
Postgraduate Certificate in Education,Other years,All,Northern Ireland,Male,2018/19,0,0%
Postgraduate Certificate in Education,Other years,All,Northern Ireland,All,2019/20,5,0%
Postgraduate Certificate in Education,Other years,All,Northern Ireland,Female,2019/20,5,0%
Postgraduate Certificate in Education,Other years,All,Northern Ireland,Male,2019/20,0,0%
Postgraduate Certificate in Education,Other years,All,Scotland,All,2015/16,145,0%
Postgraduate Certificate in Education,Other years,All,Scotland,Female,2015/16,105,0%
Postgraduate Certificate in Education,Other years,All,Scotland,Male,2015/16,35,0%
Postgraduate Certificate in Education,Other years,All,Scotland,Other,2015/16,0,2%
Postgraduate Certificate in Education,Other years,All,Scotland,All,2016/17,130,0%
Postgraduate Certificate in Education,Other years,All,Scotland,Female,2016/17,105,0%
Postgraduate Certificate in Education,Other years,All,Scotland,Male,2016/17,25,0%
Postgraduate Certificate in Education,Other years,All,Scotland,Other,2016/17,0,0%
Postgraduate Certificate in Education,Other years,All,Scotland,All,2017/18,115,0%
Postgraduate Certificate in Education,Other years,All,Scotland,Female,2017/18,95,0%
Postgraduate Certificate in Education,Other years,All,Scotland,Male,2017/18,20,0%
Postgraduate Certificate in Education,Other years,All,Scotland,Other,2017/18,0,1%
Postgraduate Certificate in Education,Other years,All,Scotland,All,2018/19,250,0%
Postgraduate Certificate in Education,Other years,All,Scotland,Female,2018/19,200,0%
Postgraduate Certificate in Education,Other years,All,Scotland,Male,2018/19,50,0%
Postgraduate Certificate in Education,Other years,All,Scotland,Other,2018/19,0,1%
Postgraduate Certificate in Education,Other years,All,Scotland,All,2019/20,210,0%
Postgraduate Certificate in Education,Other years,All,Scotland,Female,2019/20,155,0%
Postgraduate Certificate in Education,Other years,All,Scotland,Male,2019/20,55,0%
Postgraduate Certificate in Education,Other years,All,Scotland,Other,2019/20,0,0%
Postgraduate Certificate in Education,Other years,All,Wales,All,2015/16,60,0%
Postgraduate Certificate in Education,Other years,All,Wales,Female,2015/16,30,0%
Postgraduate Certificate in Education,Other years,All,Wales,Male,2015/16,35,0%
Postgraduate Certificate in Education,Other years,All,Wales,All,2016/17,45,0%
Postgraduate Certificate in Education,Other years,All,Wales,Female,2016/17,25,0%
Postgraduate Certificate in Education,Other years,All,Wales,Male,2016/17,20,0%
Postgraduate Certificate in Education,Other years,All,Wales,All,2017/18,50,0%
Postgraduate Certificate in Education,Other years,All,Wales,Female,2017/18,35,0%
Postgraduate Certificate in Education,Other years,All,Wales,Male,2017/18,15,0%
Postgraduate Certificate in Education,Other years,All,Wales,All,2018/19,35,0%
Postgraduate Certificate in Education,Other years,All,Wales,Female,2018/19,25,0%
Postgraduate Certificate in Education,Other years,All,Wales,Male,2018/19,15,0%
Postgraduate Certificate in Education,Other years,All,Wales,All,2019/20,25,0%
Postgraduate Certificate in Education,Other years,All,Wales,Female,2019/20,15,0%
Postgraduate Certificate in Education,Other years,All,Wales,Male,2019/20,10,0%
Postgraduate Certificate in Education,Other years,Full-time,All,All,2015/16,580,0%
Postgraduate Certificate in Education,Other years,Full-time,All,Female,2015/16,375,0%
Postgraduate Certificate in Education,Other years,Full-time,All,Male,2015/16,205,0%
Postgraduate Certificate in Education,Other years,Full-time,All,Other,2015/16,0,0%
Postgraduate Certificate in Education,Other years,Full-time,All,All,2016/17,565,0%
Postgraduate Certificate in Education,Other years,Full-time,All,Female,2016/17,370,0%
Postgraduate Certificate in Education,Other years,Full-time,All,Male,2016/17,200,0%
Postgraduate Certificate in Education,Other years,Full-time,All,Other,2016/17,0,0%
Postgraduate Certificate in Education,Other years,Full-time,All,All,2017/18,540,0%
Postgraduate Certificate in Education,Other years,Full-time,All,Female,2017/18,365,0%
Postgraduate Certificate in Education,Other years,Full-time,All,Male,2017/18,175,0%
Postgraduate Certificate in Education,Other years,Full-time,All,Other,2017/18,0,0%
Postgraduate Certificate in Education,Other years,Full-time,All,All,2018/19,565,0%
Postgraduate Certificate in Education,Other years,Full-time,All,Female,2018/19,375,0%
Postgraduate Certificate in Education,Other years,Full-time,All,Male,2018/19,190,0%
Postgraduate Certificate in Education,Other years,Full-time,All,Other,2018/19,0,0%
Postgraduate Certificate in Education,Other years,Full-time,All,All,2019/20,625,0%
Postgraduate Certificate in Education,Other years,Full-time,All,Female,2019/20,360,0%
Postgraduate Certificate in Education,Other years,Full-time,All,Male,2019/20,260,0%
Postgraduate Certificate in Education,Other years,Full-time,All,Other,2019/20,0,0%
Postgraduate Certificate in Education,Other years,Full-time,England,All,2015/16,465,0%
Postgraduate Certificate in Education,Other years,Full-time,England,Female,2015/16,305,0%
Postgraduate Certificate in Education,Other years,Full-time,England,Male,2015/16,160,0%
Postgraduate Certificate in Education,Other years,Full-time,England,All,2016/17,445,0%
Postgraduate Certificate in Education,Other years,Full-time,England,Female,2016/17,285,0%
Postgraduate Certificate in Education,Other years,Full-time,England,Male,2016/17,160,0%
Postgraduate Certificate in Education,Other years,Full-time,England,All,2017/18,440,0%
Postgraduate Certificate in Education,Other years,Full-time,England,Female,2017/18,295,0%
Postgraduate Certificate in Education,Other years,Full-time,England,Male,2017/18,145,0%
Postgraduate Certificate in Education,Other years,Full-time,England,All,2018/19,445,0%
Postgraduate Certificate in Education,Other years,Full-time,England,Female,2018/19,290,0%
Postgraduate Certificate in Education,Other years,Full-time,England,Male,2018/19,155,0%
Postgraduate Certificate in Education,Other years,Full-time,England,All,2019/20,500,0%
Postgraduate Certificate in Education,Other years,Full-time,England,Female,2019/20,285,0%
Postgraduate Certificate in Education,Other years,Full-time,England,Male,2019/20,215,0%
Postgraduate Certificate in Education,Other years,Full-time,Northern Ireland,All,2015/16,0,0%
Postgraduate Certificate in Education,Other years,Full-time,Northern Ireland,Female,2015/16,0,0%
Postgraduate Certificate in Education,Other years,Full-time,Northern Ireland,Male,2015/16,0,0%
Postgraduate Certificate in Education,Other years,Full-time,Northern Ireland,All,2016/17,5,0%
Postgraduate Certificate in Education,Other years,Full-time,Northern Ireland,Female,2016/17,5,0%
Postgraduate Certificate in Education,Other years,Full-time,Northern Ireland,Male,2016/17,0,0%
Postgraduate Certificate in Education,Other years,Full-time,Northern Ireland,All,2017/18,5,0%
Postgraduate Certificate in Education,Other years,Full-time,Northern Ireland,Female,2017/18,5,0%
Postgraduate Certificate in Education,Other years,Full-time,Northern Ireland,Male,2017/18,0,0%
Postgraduate Certificate in Education,Other years,Full-time,Northern Ireland,All,2018/19,0,0%
Postgraduate Certificate in Education,Other years,Full-time,Northern Ireland,Female,2018/19,0,0%
Postgraduate Certificate in Education,Other years,Full-time,Northern Ireland,Male,2018/19,0,0%
Postgraduate Certificate in Education,Other years,Full-time,Northern Ireland,All,2019/20,5,0%
Postgraduate Certificate in Education,Other years,Full-time,Northern Ireland,Female,2019/20,5,0%
Postgraduate Certificate in Education,Other years,Full-time,Northern Ireland,Male,2019/20,0,0%
Postgraduate Certificate in Education,Other years,Full-time,Scotland,All,2015/16,80,0%
Postgraduate Certificate in Education,Other years,Full-time,Scotland,Female,2015/16,55,0%
Postgraduate Certificate in Education,Other years,Full-time,Scotland,Male,2015/16,25,0%
Postgraduate Certificate in Education,Other years,Full-time,Scotland,Other,2015/16,0,2%
Postgraduate Certificate in Education,Other years,Full-time,Scotland,All,2016/17,80,0%
Postgraduate Certificate in Education,Other years,Full-time,Scotland,Female,2016/17,60,0%
Postgraduate Certificate in Education,Other years,Full-time,Scotland,Male,2016/17,20,0%
Postgraduate Certificate in Education,Other years,Full-time,Scotland,Other,2016/17,0,0%
Postgraduate Certificate in Education,Other years,Full-time,Scotland,All,2017/18,65,0%
Postgraduate Certificate in Education,Other years,Full-time,Scotland,Female,2017/18,50,0%
Postgraduate Certificate in Education,Other years,Full-time,Scotland,Male,2017/18,15,0%
Postgraduate Certificate in Education,Other years,Full-time,Scotland,Other,2017/18,0,0%
Postgraduate Certificate in Education,Other years,Full-time,Scotland,All,2018/19,95,0%
Postgraduate Certificate in Education,Other years,Full-time,Scotland,Female,2018/19,65,0%
Postgraduate Certificate in Education,Other years,Full-time,Scotland,Male,2018/19,25,0%
Postgraduate Certificate in Education,Other years,Full-time,Scotland,Other,2018/19,0,0%
Postgraduate Certificate in Education,Other years,Full-time,Scotland,All,2019/20,100,0%
Postgraduate Certificate in Education,Other years,Full-time,Scotland,Female,2019/20,65,0%
Postgraduate Certificate in Education,Other years,Full-time,Scotland,Male,2019/20,35,0%
Postgraduate Certificate in Education,Other years,Full-time,Scotland,Other,2019/20,0,0%
Postgraduate Certificate in Education,Other years,Full-time,Wales,All,2015/16,35,0%
Postgraduate Certificate in Education,Other years,Full-time,Wales,Female,2015/16,15,0%
Postgraduate Certificate in Education,Other years,Full-time,Wales,Male,2015/16,20,0%
Postgraduate Certificate in Education,Other years,Full-time,Wales,All,2016/17,35,0%
Postgraduate Certificate in Education,Other years,Full-time,Wales,Female,2016/17,20,0%
Postgraduate Certificate in Education,Other years,Full-time,Wales,Male,2016/17,15,0%
Postgraduate Certificate in Education,Other years,Full-time,Wales,All,2017/18,30,0%
Postgraduate Certificate in Education,Other years,Full-time,Wales,Female,2017/18,15,0%
Postgraduate Certificate in Education,Other years,Full-time,Wales,Male,2017/18,15,0%
Postgraduate Certificate in Education,Other years,Full-time,Wales,All,2018/19,25,0%
Postgraduate Certificate in Education,Other years,Full-time,Wales,Female,2018/19,15,0%
Postgraduate Certificate in Education,Other years,Full-time,Wales,Male,2018/19,10,0%
Postgraduate Certificate in Education,Other years,Full-time,Wales,All,2019/20,20,0%
Postgraduate Certificate in Education,Other years,Full-time,Wales,Female,2019/20,10,0%
Postgraduate Certificate in Education,Other years,Full-time,Wales,Male,2019/20,10,0%
Postgraduate Certificate in Education,Other years,Part-time,All,All,2015/16,990,0%
Postgraduate Certificate in Education,Other years,Part-time,All,Female,2015/16,685,0%
Postgraduate Certificate in Education,Other years,Part-time,All,Male,2015/16,305,0%
Postgraduate Certificate in Education,Other years,Part-time,All,Other,2015/16,0,0%
Postgraduate Certificate in Education,Other years,Part-time,All,All,2016/17,895,0%
Postgraduate Certificate in Education,Other years,Part-time,All,Female,2016/17,630,0%
Postgraduate Certificate in Education,Other years,Part-time,All,Male,2016/17,265,0%
Postgraduate Certificate in Education,Other years,Part-time,All,Other,2016/17,0,0%
Postgraduate Certificate in Education,Other years,Part-time,All,All,2017/18,775,0%
Postgraduate Certificate in Education,Other years,Part-time,All,Female,2017/18,530,0%
Postgraduate Certificate in Education,Other years,Part-time,All,Male,2017/18,245,0%
Postgraduate Certificate in Education,Other years,Part-time,All,Other,2017/18,0,1%
Postgraduate Certificate in Education,Other years,Part-time,All,All,2018/19,805,0%
Postgraduate Certificate in Education,Other years,Part-time,All,Female,2018/19,590,0%
Postgraduate Certificate in Education,Other years,Part-time,All,Male,2018/19,210,0%
Postgraduate Certificate in Education,Other years,Part-time,All,Other,2018/19,0,1%
Postgraduate Certificate in Education,Other years,Part-time,All,All,2019/20,670,0%
Postgraduate Certificate in Education,Other years,Part-time,All,Female,2019/20,480,0%
Postgraduate Certificate in Education,Other years,Part-time,All,Male,2019/20,190,0%
Postgraduate Certificate in Education,Other years,Part-time,All,Other,2019/20,0,0%
Postgraduate Certificate in Education,Other years,Part-time,England,All,2015/16,900,0%
Postgraduate Certificate in Education,Other years,Part-time,England,Female,2015/16,620,0%
Postgraduate Certificate in Education,Other years,Part-time,England,Male,2015/16,280,0%
Postgraduate Certificate in Education,Other years,Part-time,England,Other,2015/16,0,0%
Postgraduate Certificate in Education,Other years,Part-time,England,All,2016/17,835,0%
Postgraduate Certificate in Education,Other years,Part-time,England,Female,2016/17,580,0%
Postgraduate Certificate in Education,Other years,Part-time,England,Male,2016/17,255,0%
Postgraduate Certificate in Education,Other years,Part-time,England,Other,2016/17,0,0%
Postgraduate Certificate in Education,Other years,Part-time,England,All,2017/18,705,0%
Postgraduate Certificate in Education,Other years,Part-time,England,Female,2017/18,465,0%
Postgraduate Certificate in Education,Other years,Part-time,England,Male,2017/18,240,0%
Postgraduate Certificate in Education,Other years,Part-time,England,Other,2017/18,0,0%
Postgraduate Certificate in Education,Other years,Part-time,England,All,2018/19,635,0%
Postgraduate Certificate in Education,Other years,Part-time,England,Female,2018/19,450,0%
Postgraduate Certificate in Education,Other years,Part-time,England,Male,2018/19,185,0%
Postgraduate Certificate in Education,Other years,Part-time,England,Other,2018/19,0,1%
Postgraduate Certificate in Education,Other years,Part-time,England,All,2019/20,555,0%
Postgraduate Certificate in Education,Other years,Part-time,England,Female,2019/20,385,0%
Postgraduate Certificate in Education,Other years,Part-time,England,Male,2019/20,165,0%
Postgraduate Certificate in Education,Other years,Part-time,England,Other,2019/20,0,0%
Postgraduate Certificate in Education,Other years,Part-time,Northern Ireland,All,2015/16,0,0%
Postgraduate Certificate in Education,Other years,Part-time,Northern Ireland,Female,2015/16,0,0%
Postgraduate Certificate in Education,Other years,Part-time,Northern Ireland,Male,2015/16,0,0%
Postgraduate Certificate in Education,Other years,Part-time,Northern Ireland,All,2016/17,0,0%
Postgraduate Certificate in Education,Other years,Part-time,Northern Ireland,Female,2016/17,0,0%
Postgraduate Certificate in Education,Other years,Part-time,Northern Ireland,Male,2016/17,0,0%
Postgraduate Certificate in Education,Other years,Part-time,Northern Ireland,All,2017/18,0,0%
Postgraduate Certificate in Education,Other years,Part-time,Northern Ireland,Female,2017/18,0,0%
Postgraduate Certificate in Education,Other years,Part-time,Northern Ireland,Male,2017/18,0,0%
Postgraduate Certificate in Education,Other years,Part-time,Northern Ireland,All,2018/19,0,0%
Postgraduate Certificate in Education,Other years,Part-time,Northern Ireland,Female,2018/19,0,0%
Postgraduate Certificate in Education,Other years,Part-time,Northern Ireland,Male,2018/19,0,0%
Postgraduate Certificate in Education,Other years,Part-time,Northern Ireland,All,2019/20,0,0%
Postgraduate Certificate in Education,Other years,Part-time,Northern Ireland,Female,2019/20,0,0%
Postgraduate Certificate in Education,Other years,Part-time,Northern Ireland,Male,2019/20,0,0%
Postgraduate Certificate in Education,Other years,Part-time,Scotland,All,2015/16,65,0%
Postgraduate Certificate in Education,Other years,Part-time,Scotland,Female,2015/16,50,0%
Postgraduate Certificate in Education,Other years,Part-time,Scotland,Male,2015/16,10,0%
Postgraduate Certificate in Education,Other years,Part-time,Scotland,Other,2015/16,0,..
Postgraduate Certificate in Education,Other years,Part-time,Scotland,All,2016/17,50,0%
Postgraduate Certificate in Education,Other years,Part-time,Scotland,Female,2016/17,45,0%
Postgraduate Certificate in Education,Other years,Part-time,Scotland,Male,2016/17,5,0%
Postgraduate Certificate in Education,Other years,Part-time,Scotland,Other,2016/17,0,..
Postgraduate Certificate in Education,Other years,Part-time,Scotland,All,2017/18,50,0%
Postgraduate Certificate in Education,Other years,Part-time,Scotland,Female,2017/18,45,0%
Postgraduate Certificate in Education,Other years,Part-time,Scotland,Male,2017/18,5,0%
Postgraduate Certificate in Education,Other years,Part-time,Scotland,Other,2017/18,0,..
Postgraduate Certificate in Education,Other years,Part-time,Scotland,All,2018/19,155,1%
Postgraduate Certificate in Education,Other years,Part-time,Scotland,Female,2018/19,135,1%
Postgraduate Certificate in Education,Other years,Part-time,Scotland,Male,2018/19,20,0%
Postgraduate Certificate in Education,Other years,Part-time,Scotland,Other,2018/19,0,4%
Postgraduate Certificate in Education,Other years,Part-time,Scotland,All,2019/20,110,0%
Postgraduate Certificate in Education,Other years,Part-time,Scotland,Female,2019/20,90,1%
Postgraduate Certificate in Education,Other years,Part-time,Scotland,Male,2019/20,20,0%
Postgraduate Certificate in Education,Other years,Part-time,Scotland,Other,2019/20,0,0%
Postgraduate Certificate in Education,Other years,Part-time,Wales,All,2015/16,25,0%
Postgraduate Certificate in Education,Other years,Part-time,Wales,Female,2015/16,15,0%
Postgraduate Certificate in Education,Other years,Part-time,Wales,Male,2015/16,15,0%
Postgraduate Certificate in Education,Other years,Part-time,Wales,All,2016/17,5,0%
Postgraduate Certificate in Education,Other years,Part-time,Wales,Female,2016/17,5,0%
Postgraduate Certificate in Education,Other years,Part-time,Wales,Male,2016/17,5,0%
Postgraduate Certificate in Education,Other years,Part-time,Wales,All,2017/18,20,0%
Postgraduate Certificate in Education,Other years,Part-time,Wales,Female,2017/18,15,0%
Postgraduate Certificate in Education,Other years,Part-time,Wales,Male,2017/18,5,0%
Postgraduate Certificate in Education,Other years,Part-time,Wales,All,2018/19,10,0%
Postgraduate Certificate in Education,Other years,Part-time,Wales,Female,2018/19,10,0%
Postgraduate Certificate in Education,Other years,Part-time,Wales,Male,2018/19,5,0%
Postgraduate Certificate in Education,Other years,Part-time,Wales,All,2019/20,5,0%
Postgraduate Certificate in Education,Other years,Part-time,Wales,Female,2019/20,5,0%
Postgraduate Certificate in Education,Other years,Part-time,Wales,Male,2019/20,0,0%
Other postgraduate taught,All,All,All,All,2015/16,98185,4%
Other postgraduate taught,All,All,All,Female,2015/16,66400,5%
Other postgraduate taught,All,All,All,Male,2015/16,31755,3%
Other postgraduate taught,All,All,All,Not known,2015/16,0,0%
Other postgraduate taught,All,All,All,Other,2015/16,35,6%
Other postgraduate taught,All,All,All,All,2016/17,101135,4%
Other postgraduate taught,All,All,All,Female,2016/17,69135,5%
Other postgraduate taught,All,All,All,Male,2016/17,31905,3%
Other postgraduate taught,All,All,All,Not known,2016/17,0,0%
Other postgraduate taught,All,All,All,Other,2016/17,95,9%
Other postgraduate taught,All,All,All,All,2017/18,99790,4%
Other postgraduate taught,All,All,All,Female,2017/18,68500,5%
Other postgraduate taught,All,All,All,Male,2017/18,31195,3%
Other postgraduate taught,All,All,All,Not known,2017/18,0,0%
Other postgraduate taught,All,All,All,Other,2017/18,95,5%
Other postgraduate taught,All,All,All,All,2018/19,96210,4%
Other postgraduate taught,All,All,All,Female,2018/19,66575,5%
Other postgraduate taught,All,All,All,Male,2018/19,29475,3%
Other postgraduate taught,All,All,All,Not known,2018/19,30,10%
Other postgraduate taught,All,All,All,Other,2018/19,130,5%
Other postgraduate taught,All,All,All,All,2019/20,94845,4%
